studentnummer;datum;antwoord;toelichting
100031;2026-04-13;1;Lekker bezig deze week
100031;2026-04-27;1;
100032;2026-03-09;1;
100032;2026-03-16;2;Moeite met plannen
100032;2026-03-30;1;
100032;2026-04-06;1;
100032;2026-04-13;2;
100032;2026-05-04;1;
100033;2026-03-09;1;Het loopt
100033;2026-03-30;1;Tentamens zijn goed gegaan
100033;2026-04-06;1;Goed weekend gehad
100033;2026-04-13;1;
100033;2026-04-20;1;Beetje beter
100033;2026-04-27;1;
100034;2026-03-02;1;
100034;2026-04-06;1;
100034;2026-04-27;1;
100035;2026-03-23;1;
100035;2026-05-04;1;Tentamens zijn goed gegaan
100036;2026-03-02;1;
100036;2026-03-30;1;Goed weekend gehad
100036;2026-04-20;1;
100036;2026-05-04;1;
100037;2026-03-09;1;Tentamens zijn goed gegaan
100037;2026-03-16;1;
100037;2026-04-13;1;
100037;2026-05-04;1;
100038;2026-03-09;2;
100038;2026-03-16;2;
100038;2026-04-06;2;
100038;2026-04-20;3;
100038;2026-05-04;1;
100039;2026-03-16;1;
100039;2026-04-13;2;
100040;2026-03-02;1;
100040;2026-03-23;2;Privé dingen spelen
100040;2026-04-06;1;
100040;2026-05-04;1;
100041;2026-03-02;1;
100041;2026-03-16;1;Goed weekend gehad
100041;2026-03-30;1;
100041;2026-04-20;1;
100042;2026-03-09;1;Het loopt
100042;2026-05-04;1;
100043;2026-03-02;2;
100043;2026-03-16;2;
100043;2026-03-23;1;
100043;2026-04-06;1;
100043;2026-04-13;2;Toetsen stapelen op
100043;2026-04-20;2;
100043;2026-05-04;1;
100044;2026-03-02;1;Tentamens zijn goed gegaan
100044;2026-03-09;1;
100044;2026-03-16;3;
100044;2026-03-30;3;
100044;2026-04-13;1;Lekker bezig deze week
100045;2026-03-09;2;Beetje stress
100045;2026-05-04;1;
100046;2026-03-02;1;
100046;2026-03-16;1;
100047;2026-03-02;3;
100047;2026-03-09;1;
100047;2026-03-30;2;
100047;2026-05-04;1;
100048;2026-04-06;2;Druk met stage
100049;2026-03-02;1;
100049;2026-03-09;1;
100049;2026-03-16;1;Goed weekend gehad
100049;2026-04-20;1;
100049;2026-04-27;1;Stage gaat lekker
100050;2026-03-02;1;Goed weekend gehad
100051;2026-03-02;1;
100051;2026-03-16;1;
100051;2026-04-06;1;Beetje beter
100051;2026-04-20;1;
100052;2026-03-02;2;Toetsen stapelen op
100052;2026-03-23;3;
100052;2026-04-06;2;
100052;2026-04-27;2;
100053;2026-03-16;2;
100053;2026-03-23;2;
100053;2026-04-20;1;Beetje beter
100053;2026-04-27;1;Beetje beter
100054;2026-03-09;3;
100054;2026-03-23;1;
100054;2026-03-30;1;
100054;2026-04-27;1;
100055;2026-03-09;1;
100055;2026-03-16;1;
100055;2026-03-30;1;Lekker bezig deze week
100055;2026-04-27;1;
100056;2026-03-02;1;Tentamens zijn goed gegaan
100056;2026-03-16;2;Niet helemaal lekker
100056;2026-03-23;2;
100056;2026-04-13;1;Stage gaat lekker
100056;2026-04-27;1;
100057;2026-04-20;1;Lekker bezig deze week
100058;2026-03-16;1;
100058;2026-03-30;1;Goed weekend gehad
100058;2026-04-06;1;
100058;2026-04-20;1;Het loopt
100058;2026-04-27;1;
100058;2026-05-04;2;
100059;2026-03-09;1;
100059;2026-03-16;1;
100059;2026-04-06;1;Tentamens zijn goed gegaan
100059;2026-04-13;1;
100059;2026-04-20;1;
100059;2026-04-27;2;Druk met stage
100060;2026-03-02;1;Lekker bezig deze week
100060;2026-03-30;1;Lekker bezig deze week
100060;2026-04-06;1;
100060;2026-04-13;1;
100060;2026-04-20;1;
100060;2026-04-27;1;
100061;2026-03-09;1;
100061;2026-03-16;1;
100061;2026-03-23;1;
100061;2026-03-30;1;
100061;2026-04-20;1;Goed weekend gehad
100061;2026-05-04;2;
100062;2026-03-02;3;
100062;2026-04-27;2;Privé dingen spelen
100062;2026-05-04;1;Stage gaat lekker
100063;2026-04-06;1;Tentamens zijn goed gegaan
100063;2026-04-13;1;
100063;2026-05-04;1;
100064;2026-03-02;1;Tentamens zijn goed gegaan
100064;2026-04-06;1;Beetje beter
100064;2026-04-13;2;
100065;2026-03-09;1;
100065;2026-03-23;3;
100065;2026-03-30;2;
100065;2026-04-06;2;
100065;2026-04-27;1;Goed weekend gehad
100065;2026-05-04;1;
100066;2026-03-02;1;
100066;2026-04-20;2;
100066;2026-04-27;1;Stage gaat lekker
100066;2026-05-04;1;
100067;2026-04-20;1;Beetje beter
100067;2026-05-04;1;
100068;2026-03-30;1;
100068;2026-04-27;1;
100069;2026-03-16;1;
100069;2026-03-23;1;Stage gaat lekker
100069;2026-04-06;2;
100069;2026-04-13;1;
100069;2026-05-04;1;
100070;2026-03-16;1;Lekker bezig deze week
100070;2026-03-23;1;
100070;2026-04-13;2;
100070;2026-04-27;2;Slechte nachtrust
100070;2026-05-04;2;
100071;2026-03-02;1;
100071;2026-03-30;1;Het loopt
100071;2026-04-06;1;
100071;2026-04-20;1;
100072;2026-03-16;3;
100072;2026-03-23;1;
100072;2026-04-06;1;
100072;2026-04-13;1;Het loopt
100072;2026-04-20;2;
100072;2026-05-04;1;
100073;2026-03-09;2;
100073;2026-03-23;1;
100073;2026-04-13;1;
100073;2026-04-20;1;
100073;2026-05-04;2;Moeite met plannen
100074;2026-03-02;1;
100074;2026-03-16;1;Beetje beter
100074;2026-04-06;1;
100074;2026-04-13;1;Beetje beter
100074;2026-04-20;2;
100075;2026-03-02;1;
100075;2026-04-13;3;
100076;2026-03-23;1;
100076;2026-03-30;3;Stage loopt niet lekker
100076;2026-04-06;1;
100076;2026-04-20;1;
100076;2026-04-27;1;
100077;2026-03-02;1;
100077;2026-03-09;3;Ik weet niet meer of ik dit wil
100077;2026-03-23;3;
100077;2026-04-20;2;
100077;2026-04-27;1;
100077;2026-05-04;3;
100078;2026-03-09;2;Niet helemaal lekker
100078;2026-03-23;1;
100078;2026-04-06;1;Het loopt
100078;2026-04-20;3;
100078;2026-04-27;3;
100079;2026-03-16;1;
100079;2026-03-23;1;Goed weekend gehad
100080;2026-03-16;1;
100080;2026-03-23;3;
100080;2026-04-27;1;
100081;2026-03-02;2;Toetsen stapelen op
100081;2026-03-16;1;
100081;2026-03-23;1;
100081;2026-04-06;2;Niet helemaal lekker
100081;2026-04-13;1;Het loopt
100081;2026-04-27;3;
100082;2026-03-02;3;
100082;2026-03-16;1;
100082;2026-04-13;1;
100083;2026-03-02;1;Goed weekend gehad
100083;2026-03-09;1;Goed weekend gehad
100083;2026-03-23;1;
100083;2026-04-06;2;
100083;2026-04-13;1;
100083;2026-04-20;1;Goed weekend gehad
100084;2026-03-02;1;
100084;2026-03-30;1;
100084;2026-04-27;3;
100085;2026-03-02;1;
100085;2026-03-16;2;
100085;2026-05-04;1;Lekker bezig deze week
100086;2026-03-02;1;
100086;2026-03-23;1;
100086;2026-05-04;1;Stage gaat lekker
100087;2026-03-02;2;
100087;2026-03-23;1;
100087;2026-04-06;1;Stage gaat lekker
100087;2026-04-27;1;
100087;2026-05-04;1;Tentamens zijn goed gegaan
100088;2026-03-23;1;
100089;2026-03-23;1;
100089;2026-03-30;1;
100089;2026-04-06;2;Druk met stage
100089;2026-04-20;2;
100090;2026-03-23;3;
100091;2026-04-06;1;
100091;2026-04-13;1;
100092;2026-03-09;2;
100092;2026-03-16;1;
100092;2026-03-23;1;
100092;2026-04-06;1;
100093;2026-03-09;3;
100093;2026-03-23;2;
100093;2026-03-30;2;Slechte nachtrust
100093;2026-04-06;1;
100093;2026-04-20;1;
100093;2026-04-27;1;
100093;2026-05-04;2;Niet helemaal lekker
100094;2026-03-16;1;
100094;2026-03-30;2;Veel huiswerk deze week
100094;2026-04-27;1;
100095;2026-03-16;1;Goed weekend gehad
100095;2026-04-20;3;
100095;2026-04-27;1;Lekker bezig deze week
100096;2026-03-02;1;
100096;2026-03-09;1;
100096;2026-03-30;1;Het loopt
100096;2026-04-20;2;
100096;2026-05-04;1;Tentamens zijn goed gegaan
100097;2026-03-16;1;Het loopt
100097;2026-03-23;1;
100097;2026-04-20;1;
100097;2026-04-27;1;Tentamens zijn goed gegaan
100098;2026-04-27;1;
100099;2026-03-02;1;
100099;2026-03-30;1;
100099;2026-04-06;1;
100099;2026-04-13;1;
100099;2026-04-27;2;Beetje stress
100100;2026-03-02;2;
100100;2026-03-23;1;
100100;2026-03-30;2;Moeite met plannen
100100;2026-04-13;1;Beetje beter
100100;2026-04-27;2;
100101;2026-03-02;1;Goed weekend gehad
100101;2026-03-23;1;Lekker bezig deze week
100101;2026-04-13;2;Moeite met plannen
100101;2026-04-27;1;
100102;2026-03-16;1;
100102;2026-03-23;1;
100102;2026-03-30;1;Beetje beter
100102;2026-04-20;2;
100102;2026-05-04;1;
100103;2026-03-16;1;
100103;2026-03-30;2;
100103;2026-04-27;3;Echt te veel allemaal
100104;2026-03-23;1;
100104;2026-04-13;1;Stage gaat lekker
100104;2026-04-20;1;
100104;2026-04-27;1;
100104;2026-05-04;1;
100105;2026-03-02;1;
100105;2026-03-23;1;
100105;2026-03-30;1;
100105;2026-04-20;1;
100105;2026-04-27;1;Tentamens zijn goed gegaan
100106;2026-03-09;3;
100106;2026-03-16;1;
100106;2026-03-23;1;
100106;2026-04-13;1;Het loopt
100106;2026-04-20;3;
100106;2026-05-04;2;Beetje stress
100107;2026-03-09;2;
100107;2026-03-30;2;
100107;2026-04-06;1;
100107;2026-04-20;1;Stage gaat lekker
100107;2026-04-27;1;
100108;2026-03-09;1;
100108;2026-03-16;2;Slechte nachtrust
100108;2026-03-23;2;Veel huiswerk deze week
100108;2026-04-20;2;
100108;2026-04-27;2;Privé dingen spelen
100109;2026-03-09;2;Druk met stage
100109;2026-03-16;1;
100109;2026-04-06;1;Stage gaat lekker
100110;2026-03-09;1;Goed weekend gehad
100110;2026-03-16;1;
100110;2026-04-13;1;
100110;2026-04-20;1;
100110;2026-04-27;1;
100110;2026-05-04;1;Lekker bezig deze week
100111;2026-03-09;2;Beetje stress
100111;2026-03-16;1;
100111;2026-03-23;2;
100111;2026-04-06;2;
100111;2026-04-27;3;
100112;2026-03-02;1;
100112;2026-03-16;1;
100112;2026-04-20;1;Het loopt
100113;2026-03-02;1;Lekker bezig deze week
100113;2026-03-16;1;
100113;2026-03-23;1;
100113;2026-04-13;2;Niet helemaal lekker
100113;2026-05-04;1;Stage gaat lekker
100114;2026-03-09;2;
100114;2026-03-16;1;
100114;2026-03-23;1;
100114;2026-03-30;1;
100114;2026-04-06;1;
100114;2026-04-13;2;Druk met stage
100114;2026-04-20;1;Lekker bezig deze week
100114;2026-05-04;1;
100115;2026-03-02;1;
100115;2026-04-13;1;Lekker bezig deze week
100115;2026-04-20;1;Lekker bezig deze week
100115;2026-04-27;1;Lekker bezig deze week
100116;2026-03-23;1;
100116;2026-04-06;1;
100116;2026-04-20;2;
100116;2026-04-27;2;
100117;2026-03-09;1;
100117;2026-04-20;2;Slechte nachtrust
100117;2026-04-27;1;
100118;2026-03-02;2;
100118;2026-03-30;1;
100118;2026-04-06;3;
100118;2026-04-20;1;
100118;2026-04-27;1;
100119;2026-03-02;1;
100119;2026-03-30;1;Stage gaat lekker
100119;2026-04-06;2;
100119;2026-04-20;1;Tentamens zijn goed gegaan
100119;2026-04-27;2;
100120;2026-03-02;1;Het loopt
100120;2026-03-09;1;
100120;2026-03-23;1;
100120;2026-04-06;1;
100120;2026-04-13;2;Slechte nachtrust
100120;2026-04-20;3;
100121;2026-03-16;1;
100121;2026-04-06;1;
100122;2026-03-02;2;
100122;2026-04-06;2;
100122;2026-04-13;1;
100122;2026-04-20;1;
100122;2026-04-27;2;
100122;2026-05-04;1;Het loopt
100123;2026-03-16;1;
100123;2026-03-23;1;
100123;2026-04-13;1;Lekker bezig deze week
100123;2026-04-20;1;Het loopt
100124;2026-03-02;1;Lekker bezig deze week
100124;2026-03-16;1;
100124;2026-03-23;1;
100124;2026-04-06;1;
100124;2026-04-13;1;Het loopt
100124;2026-04-20;1;
100125;2026-03-02;3;
100125;2026-03-09;2;
100125;2026-03-30;2;Privé dingen spelen
100125;2026-04-13;1;
100125;2026-05-04;1;
100126;2026-03-30;1;Het loopt
100126;2026-04-06;1;
100126;2026-04-13;2;
100126;2026-05-04;2;
100127;2026-03-02;2;
100127;2026-03-09;1;
100127;2026-03-23;1;
100127;2026-03-30;2;
100127;2026-05-04;3;Nog steeds moeilijk
100128;2026-04-13;2;
100128;2026-04-27;1;
100128;2026-05-04;2;
100129;2026-03-16;3;
100129;2026-03-23;1;
100129;2026-04-06;3;
100129;2026-05-04;3;
100130;2026-03-02;1;
100130;2026-03-16;1;
100130;2026-03-30;1;Tentamens zijn goed gegaan
100130;2026-04-06;2;
100130;2026-04-20;3;Veel privé gedoe
100130;2026-04-27;2;Privé dingen spelen
100130;2026-05-04;1;
100131;2026-03-02;3;Stage loopt niet lekker
100131;2026-03-23;1;Goed weekend gehad
100131;2026-03-30;1;
100131;2026-04-13;2;
100131;2026-04-20;1;
100131;2026-05-04;1;Het loopt
100132;2026-03-16;1;Stage gaat lekker
100132;2026-03-23;3;
100132;2026-04-06;1;
100132;2026-04-20;1;
100132;2026-04-27;1;Tentamens zijn goed gegaan
100133;2026-03-30;1;
100133;2026-04-20;1;
100133;2026-04-27;1;Goed weekend gehad
100133;2026-05-04;2;Niet helemaal lekker
100134;2026-03-02;1;
100134;2026-03-16;1;
100134;2026-04-06;1;Beetje beter
100134;2026-04-27;1;
100134;2026-05-04;2;
100135;2026-03-02;1;Tentamens zijn goed gegaan
100135;2026-03-09;1;
100135;2026-03-16;1;
100135;2026-04-13;1;
100135;2026-04-27;1;Het loopt
100136;2026-03-02;3;
100136;2026-03-09;2;Druk met stage
100136;2026-03-16;2;
100136;2026-03-23;1;
100136;2026-04-13;3;
100136;2026-04-20;1;
100137;2026-03-16;2;
100137;2026-03-23;1;
100137;2026-03-30;1;Beetje beter
100137;2026-04-13;1;
100137;2026-04-20;2;Slechte nachtrust
100138;2026-03-02;1;Het loopt
100138;2026-03-09;1;Lekker bezig deze week
100138;2026-03-23;2;
100138;2026-04-13;1;
100138;2026-04-27;1;
100139;2026-03-16;2;Toetsen stapelen op
100139;2026-04-27;1;
100139;2026-05-04;2;
100140;2026-03-02;3;Ik weet niet meer of ik dit wil
100140;2026-03-30;1;Het loopt
100140;2026-04-20;3;
100140;2026-04-27;1;
100140;2026-05-04;1;
100141;2026-03-02;2;Druk met stage
100141;2026-03-09;1;Het loopt
100141;2026-04-06;1;
100141;2026-04-20;1;Tentamens zijn goed gegaan
100142;2026-03-02;1;Het loopt
100142;2026-03-16;2;Beetje stress
100142;2026-04-06;2;
100142;2026-04-13;1;Beetje beter
100142;2026-05-04;1;
100143;2026-03-02;2;Druk met stage
100143;2026-03-30;2;
100143;2026-04-13;1;
100143;2026-04-20;1;
100143;2026-05-04;1;
100144;2026-03-23;1;
100144;2026-03-30;1;Lekker bezig deze week
100144;2026-04-06;1;
100144;2026-04-20;2;Moeite met plannen
100144;2026-04-27;2;
100144;2026-05-04;1;
100145;2026-03-02;1;
100145;2026-03-23;1;
100145;2026-03-30;3;
100145;2026-04-20;1;
100146;2026-03-02;1;
100146;2026-03-09;2;
100146;2026-03-16;3;Geen zin meer in school
100146;2026-03-23;1;Tentamens zijn goed gegaan
100146;2026-04-27;2;Privé dingen spelen
100146;2026-05-04;1;
100147;2026-03-02;1;
100147;2026-03-16;1;Het loopt
100147;2026-03-30;3;
100147;2026-04-20;1;
100148;2026-03-02;1;
100148;2026-03-23;1;
100148;2026-03-30;1;
100148;2026-04-06;1;
100148;2026-04-20;1;
100149;2026-03-23;1;Het loopt
100149;2026-03-30;1;
100149;2026-04-20;1;
100149;2026-04-27;1;
100150;2026-03-02;1;
100150;2026-03-09;1;
100150;2026-03-16;2;
100150;2026-03-23;1;Beetje beter
100150;2026-03-30;2;Toetsen stapelen op
100150;2026-04-06;1;Lekker bezig deze week
100150;2026-04-13;1;
100150;2026-04-27;1;
100150;2026-05-04;3;
100151;2026-03-23;1;
100151;2026-03-30;1;Beetje beter
100151;2026-04-06;2;
100151;2026-05-04;2;
100152;2026-03-16;1;
100152;2026-04-06;2;
100152;2026-04-13;1;Het loopt
100152;2026-04-20;3;Geen zin meer in school
100152;2026-05-04;2;
100153;2026-03-02;1;Beetje beter
100153;2026-03-09;2;
100153;2026-03-23;2;
100153;2026-04-13;1;
100153;2026-05-04;1;Tentamens zijn goed gegaan
100154;2026-03-09;1;
100154;2026-04-13;1;
100154;2026-04-20;1;Tentamens zijn goed gegaan
100154;2026-05-04;1;Lekker bezig deze week
100155;2026-03-09;2;Slechte nachtrust
100155;2026-04-20;2;
100156;2026-03-23;1;
100156;2026-03-30;1;
100156;2026-04-06;2;
100156;2026-04-20;3;
100156;2026-04-27;1;
100157;2026-03-02;1;
100157;2026-04-06;1;
100157;2026-04-27;1;Stage gaat lekker
100158;2026-03-09;2;Privé dingen spelen
100158;2026-03-16;1;
100158;2026-03-23;2;
100158;2026-03-30;1;Lekker bezig deze week
100158;2026-04-13;1;
100158;2026-04-27;1;
100159;2026-03-02;1;
100159;2026-03-09;2;Veel huiswerk deze week
100159;2026-04-06;1;
100159;2026-04-13;1;
100159;2026-04-20;1;
100159;2026-04-27;1;
100159;2026-05-04;1;
100160;2026-03-02;1;Stage gaat lekker
100160;2026-03-23;1;
100160;2026-03-30;3;
100160;2026-04-13;1;
100160;2026-04-27;2;
100161;2026-03-09;1;
100161;2026-03-16;1;
100161;2026-03-23;3;
100161;2026-03-30;1;
100161;2026-04-13;2;
100161;2026-04-20;1;Tentamens zijn goed gegaan
100161;2026-04-27;1;Het loopt
100162;2026-03-09;1;
100162;2026-03-16;1;
100162;2026-04-06;1;Lekker bezig deze week
100162;2026-04-13;1;
100162;2026-05-04;1;
100163;2026-03-02;2;
100163;2026-03-09;1;
100164;2026-03-23;1;Lekker bezig deze week
100164;2026-04-06;1;Tentamens zijn goed gegaan
100164;2026-05-04;1;Stage gaat lekker
100165;2026-03-16;1;
100165;2026-04-06;2;
100165;2026-04-13;1;
100166;2026-03-02;1;Lekker bezig deze week
100166;2026-03-23;2;Druk met stage
100166;2026-04-06;3;
100166;2026-04-13;2;Beetje stress
100166;2026-04-27;1;
100167;2026-03-02;1;
100167;2026-03-09;2;
100167;2026-03-16;1;
100167;2026-04-06;1;Lekker bezig deze week
100167;2026-04-13;1;Stage gaat lekker
100167;2026-04-20;1;
100167;2026-04-27;2;
100167;2026-05-04;2;
100168;2026-03-02;1;
100168;2026-03-09;1;
100168;2026-03-16;1;
100168;2026-03-30;1;
100168;2026-04-06;1;Goed weekend gehad
100168;2026-05-04;1;
100169;2026-03-09;1;Beetje beter
100169;2026-03-30;1;Goed weekend gehad
100169;2026-04-06;1;
100169;2026-04-13;1;
100169;2026-04-20;1;
100169;2026-05-04;2;Veel huiswerk deze week
100170;2026-03-02;1;
100170;2026-03-09;2;
100170;2026-03-23;1;Stage gaat lekker
100170;2026-04-27;2;
100171;2026-03-02;2;
100171;2026-03-09;1;
100171;2026-03-30;1;
100171;2026-04-06;1;Lekker bezig deze week
100171;2026-04-20;1;
100172;2026-03-09;2;Slechte nachtrust
100172;2026-04-13;1;
100172;2026-04-20;1;
100172;2026-04-27;2;
100172;2026-05-04;1;
100173;2026-04-06;1;
100173;2026-05-04;2;Moeite met plannen
100174;2026-03-16;3;
100174;2026-04-06;2;
100174;2026-04-13;1;
100175;2026-03-02;2;
100175;2026-03-23;3;
100175;2026-04-06;2;
100175;2026-04-27;2;
100176;2026-03-02;1;Tentamens zijn goed gegaan
100176;2026-03-16;1;
100176;2026-03-23;1;
100176;2026-03-30;1;
100176;2026-04-06;2;
100176;2026-04-20;2;Privé dingen spelen
100176;2026-05-04;1;
100177;2026-03-02;1;Tentamens zijn goed gegaan
100177;2026-03-09;1;
100177;2026-03-23;1;
100177;2026-03-30;1;Tentamens zijn goed gegaan
100177;2026-04-13;2;
100177;2026-04-27;2;
100178;2026-03-30;1;
100178;2026-04-13;1;
100178;2026-04-27;1;Beetje beter
100179;2026-03-09;1;
100179;2026-03-16;1;
100179;2026-04-13;2;
100179;2026-04-20;1;
100180;2026-03-16;1;
100180;2026-03-30;1;
100180;2026-04-13;3;
100180;2026-04-27;3;
100181;2026-04-06;2;
100181;2026-04-13;2;
100181;2026-04-27;2;Toetsen stapelen op
100182;2026-03-02;1;
100182;2026-03-23;1;Het loopt
100182;2026-03-30;1;Goed weekend gehad
100183;2026-03-30;1;
100183;2026-05-04;1;
100184;2026-04-06;1;Goed weekend gehad
100184;2026-05-04;1;
100185;2026-03-16;2;Toetsen stapelen op
100185;2026-03-23;1;
100185;2026-03-30;1;
100185;2026-04-06;1;
100186;2026-03-02;1;
100186;2026-03-30;1;
100186;2026-04-06;2;
100186;2026-05-04;2;
100187;2026-03-16;1;Tentamens zijn goed gegaan
100187;2026-04-27;1;
100187;2026-05-04;2;
100188;2026-03-09;1;
100188;2026-03-16;3;
100188;2026-04-13;2;Toetsen stapelen op
100188;2026-04-20;3;
100189;2026-04-13;1;
100189;2026-04-20;1;Tentamens zijn goed gegaan
100190;2026-03-23;1;
100190;2026-04-06;1;
100190;2026-04-27;1;
100190;2026-05-04;1;
100191;2026-03-09;2;
100191;2026-03-16;1;Tentamens zijn goed gegaan
100191;2026-03-30;2;
100191;2026-04-13;2;Niet helemaal lekker
100192;2026-03-02;1;
100192;2026-03-09;1;
100192;2026-03-30;1;
100192;2026-04-13;2;
100192;2026-05-04;1;
100193;2026-03-02;1;Tentamens zijn goed gegaan
100193;2026-04-20;1;
100193;2026-04-27;1;
100194;2026-03-09;1;Tentamens zijn goed gegaan
100194;2026-03-16;1;
100194;2026-03-23;1;
100194;2026-03-30;1;
100194;2026-04-20;1;Lekker bezig deze week
100195;2026-03-16;1;Stage gaat lekker
100195;2026-03-23;1;Tentamens zijn goed gegaan
100195;2026-04-06;1;Lekker bezig deze week
100195;2026-04-27;1;
100195;2026-05-04;1;
100196;2026-03-09;1;
100196;2026-03-16;1;
100196;2026-03-30;1;
100196;2026-04-20;1;Stage gaat lekker
100197;2026-03-09;1;Het loopt
100197;2026-03-16;1;
100197;2026-04-13;2;
100197;2026-04-20;1;
100198;2026-03-02;1;
100198;2026-03-09;1;
100198;2026-03-23;1;
100198;2026-04-06;1;
100198;2026-04-20;1;Stage gaat lekker
100198;2026-04-27;2;
100199;2026-03-02;1;
100199;2026-03-09;1;
100199;2026-04-06;1;
100199;2026-04-13;1;
100199;2026-04-20;1;Het loopt
100199;2026-04-27;2;
100199;2026-05-04;2;
100200;2026-03-09;1;
100200;2026-04-13;3;
100200;2026-04-27;1;
100200;2026-05-04;1;Stage gaat lekker
100201;2026-03-09;1;Goed weekend gehad
100201;2026-03-16;2;
100201;2026-03-23;1;Beetje beter
100201;2026-04-20;1;Tentamens zijn goed gegaan
100201;2026-05-04;1;Stage gaat lekker
100202;2026-03-02;2;
100202;2026-03-16;1;
100202;2026-03-23;2;
100202;2026-04-06;1;
100203;2026-03-02;1;
100203;2026-03-09;1;
100203;2026-03-16;1;
100203;2026-03-23;1;
100203;2026-04-06;1;
